"x","y","z","xy","xz","yz","x^2","y^2","z^2"
-8.9899155468017,-13.6859312769103,20.0150575338846,123.035366358756,-179.933676894,-273.924701912151,80.818581538627,187.304714916312,400.60252808471
-9.45951711981257,-14.2669115483057,20.7116763299019,134.958094038049,-195.922456822724,-295.491654215847,89.482464140027,203.544765127179,428.973536394618
-9.94025656266188,-14.8136826581429,21.508945901485,147.251806259796,-213.804440653176,-318.626698895763,98.8087005315426,219.445193896164,462.634753793008
-10.42759917221,-15.3107732625751,22.4078920733767,159.654606598723,-233.660516835313,-343.082154827724,108.734824496274,234.419777897984,502.113627172098
-10.9159165812465,-15.740788129815,23.4068943507405,171.825130148135,-255.507706158733,-368.44296475197,119.157234808732,247.772410947724,547.882703146729
-11.3984037361033,-16.0847598296785,24.5009618028688,183.340586536933,-279.271854551945,-394.092086195272,129.923607731215,258.71949877844,600.297129265636
-11.8670393454609,-16.3227467319712,25.6810086868283,193.702677694295,-304.757540517713,-419.184600616651,140.826622826716,266.432060876077,659.51420717295
-12.3126100841119,-16.4347148762034,26.9332085654558,202.354236114246,-331.61809538052,-442.639603474586,151.600367083374,270.099853062102,725.397723630343
-12.724820563321,-16.4017175971875,28.2385320315195,208.708913354476,-359.330253072679,-463.160427740116,161.921058368718,269.01634013789,797.41469129515
-13.0925102667077,-16.2073476482187,29.5725936442237,212.194865480405,-387.179485900173,-479.293306051437,171.413825083846,262.678117790221,874.53829484638
-13.4039940048588,-15.839382187413,30.9059398018484,212.310983880751,-414.263031818503,-489.530992382656,179.667055282291,250.886028078935,955.17711503548
-13.6475328231142,-15.2914763687143,32.20489124594,208.690925655903,-439.51731034379,-492.460333444304,186.25515215798,233.829249534947,1037.15502016282
-13.8119271776742,-14.5646976920612,33.4330034026073,201.166543887589,-461.774208327746,-486.941587496629,190.769332361376,212.130418861133,1117.76571651875
-13.8872042291129,-13.6686482416119,34.5531220840803,189.81930966717,-479.846263135095,-472.294471416766,192.854441301092,186.83194475292,1193.91824575736
-13.8653486303628,-12.6219163119965,35.5298985918432,175.007270049094,-492.634430777343,-448.455406599966,192.247892641504,159.312771387042,1262.37369394666
-13.7410053985262,-11.4516504576046,36.332507329885,157.35719075998,-499.245179361942,-416.067174190202,188.815229362326,131.140298203157,1320.05108887615
-13.512069904434,-10.1921636709965,36.9372123753545,137.717227999938,-499.098195690716,-376.470114079971,182.576033102312,103.880200296381,1364.35765806204
-13.1800792810903,-8.88263965062091,37.3293923253445,117.07389482054,-492.004350362963,-331.583540402689,173.714489855825,78.9012871627829,1393.48353137949
-12.7503353180433,-7.56419194919035,37.5046808115407,96.4459837622208,-478.197256343329,-283.69260465161,162.571050722543,57.2169998441962,1406.60108277555
-12.231720981158,-6.27667135531729,37.4690158275218,76.7744927086682,-458.310547040841,-235.180698356536,149.614998160902,39.3966033026606,1403.92714708308
